evrk_section_code,evrk_section_title,evrk_chapter_code,evrk_chapter_title,evrk_group_code,evrk_group_title,evrk_class_code,evrk_class_title,evrk_subclass_code,evrk_subclass_title,object_id
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,840,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,8400,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,840000,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,236
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8411,Bendroji viešojo valdymo veikla,841100,Bendroji viešojo valdymo veikla,237
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8411,Bendroji viešojo valdymo veikla,841110,Lietuvos Respublikos apskričių veikla,238
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8411,Bendroji viešojo valdymo veikla,841120,Lietuvos Respublikos savivaldybių veikla,239
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8411,Bendroji viešojo valdymo veikla,841140,Iždo valdymas ir priežiūra,240
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8411,Bendroji viešojo valdymo veikla,841150,Biudžeto vykdymas ir valstybinių fondų tvarkymas,241
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,841,Valstybės valdymas ir bendroji ekonominė bei socialinė bendruomenės politika,8412,"Sveikatos priežiūros, švietimo, kultūros ir kitų socialinių paslaugų, išskyrus socialinį draudimą, veiklos reguliavimas",841200,"Sveikatos priežiūros, švietimo, kultūros ir kitų socialinių paslaugų, išskyrus socialinį draudimą, veiklos reguliavimas",242
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,842,Bendruomenei teikiamų paslaugų užtikrinimas,8421,Užsienio reikalai,842100,Užsienio reikalai,243
O,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,84,Viešasis valdymas ir gynyba; privalomasis socialinis draudimas,842,Bendruomenei teikiamų paslaugų užtikrinimas,8422,Gynybos veikla,842200,Gynybos veikla,244
P,Švietimas,85,Švietimas,850,Švietimas,8500,Švietimas,850000,Švietimas,245
P,Švietimas,85,Švietimas,855,Kitas mokymas,8550,Kitas mokymas,855000,Kitas mokymas,246
P,Švietimas,85,Švietimas,855,Kitas mokymas,8551,Sportinis ir rekreacinis švietimas,855100,Sportinis ir rekreacinis švietimas,247
P,Švietimas,85,Švietimas,855,Kitas mokymas,8552,Kultūrinis švietimas,855200,Kultūrinis švietimas,248
Q,Žmonių sveikatos priežiūra ir socialinis darbas,86,Žmonių sveikatos priežiūros veikla,862,Medicininės ir odontologinės praktikos veikla,8623,Odontologinės praktikos veikla,862300,Odontologinės praktikos veikla,249
Q,Žmonių sveikatos priežiūra ir socialinis darbas,87,Kita stacionarinė globos veikla,879,Kita stacionarinė globos veikla,8790,Kita stacionarinė globos veikla,879000,Kita stacionarinė globos veikla,250
